id,NameID,ItemCategoryType
1,(武器),1
2,(防具),2
3,(飾品),3
4,(藥水 / 卷軸),4
5,(強化),5
6,(門票),6
7,(製作材料),7
8,(其他),8
9,(根源),9
10,(字尾),10
11,(強化),11
12,(好感度),12
13,(技巧材料),13
14,(強化紋章),14
15,(技能紋章),15
16,(特殊技能紋章),16
17,(潛力),17
18,(潛力),18
19,(潛力),19
20,(潛力),20
21,(強化潛力石),21
22,(料理食譜),22
23,(料理),23
24,(種子),24
25,(農產物),25
26,(水產物),26
27,(技能書),27
28,(袋子),28
29,(騎寵),29
30,(寶物),30
31,（循環）,31
32,(劍鬥士-夢幻),32
33,(月光劍豪-夢幻),33
34,(狂戰士-夢幻),34
35,(毀滅者-夢幻),35
36,(闇黑復仇者-夢幻),36
37,(劍鬥士-赤月),37
38,(月光劍豪-赤月),38
39,(狂戰士-赤月),39
40,(毀滅者-赤月),40
41,(闇黑復仇者-赤月),41
42,(劍鬥士-蒼翠),42
43,(月光劍豪-蒼翠),43
44,(狂戰士-蒼翠),44
45,(毀滅者-蒼翠),45
46,(闇黑復仇者-蒼翠),46
47,(天弓射手-夢幻),47
48,(馭魔箭手-夢幻),48
49,(影舞者-夢幻),49
50,(風行者-夢幻),50
51,(銀月獵手-夢幻),51
52,(天弓射手-赤月),52
53,(馭魔箭手-赤月),53
54,(影舞者-赤月),54
55,(風行者-赤月),55
56,(銀月獵手-赤月),56
57,(天弓射手-蒼翠),57
58,(馭魔箭手-蒼翠),58
59,(影舞者-蒼翠),59
60,(風行者-蒼翠),60
61,(銀月獵手-蒼翠),61
62,(炎之幻姬-夢幻),62
63,(冰之女王-夢幻),63
64,(光影術士-夢幻),64
65,(時空領主-夢幻),65
66,(黑暗法師-夢幻),66
67,(炎之幻姬-赤月),67
68,(冰之女王-赤月),68
69,(光影術士-赤月),69
70,(時空領主-赤月),70
71,(黑暗法師-赤月),71
72,(炎之幻姬-蒼翠),72
73,(冰之女王-蒼翠),73
74,(光影術士-蒼翠),74
75,(時空領主-蒼翠),75
76,(黑暗法師-蒼翠),76
77,(聖騎士-夢幻),77
78,(十字軍-夢幻),78
79,(聖徒-夢幻),79
80,(審判者-夢幻),80
